scalar;1024;10000;single;1,0,0,0,0,0,0,0;1;1,1,1;3
scalar;1024;10000;single;0,1,0,0,0,0,0,0;1;1,1,1;3
scalar;1024;10000;single;0,0,1,0,0,0,0,0;1;1,1,1;3
scalar;1024;10000;single;0,0,0,1,0,0,0,0;1;1,1,1;3
scalar;1024;10000;single;0,0,0,0,1,0,0,0;1;1,1,1;3
scalar;1024;10000;single;0,0,0,0,0,1,0,0;1;1,1,1;3
scalar;1024;10000;single;0,0,0,0,0,0,1,0;1;1,1,1;3
scalar;1024;10000;single;0,0,0,0,0,0,0,1;1;1,1,1;2
scalar;1024;10000;uniform;1;1;1,1,1;3
scalar;1024;10000;uniform;1,1;1;1,1,1;3
scalar;1024;10000;uniform;1,1,1;1;1,1,1;3
scalar;1024;10000;uniform;1,1,1,1;1;1,1,1;2
scalar;1024;10000;uniform;1,1,1,1,1;1;1,1,1;2
scalar;1024;10000;uniform;1,1,1,1,1,1;1;1,1,1;2
scalar;1024;10000;uniform;1,1,1,1,1,1,1;1;1,1,1;2
scalar;1024;10000;uniform;1,1,1,1,1,1,1,1;1;1,1,1;2
scalar;1024;10000;normal;1000,606,135,11,0,0,0,0;1;1,1,1;3
scalar;1024;10000;normal;606,1000,606,135,11,0,0,0;1;1,1,1;3
scalar;1024;10000;normal;135,606,1000,606,135,11,0,0;1;1,1,1;2
scalar;1024;10000;normal;11,135,606,1000,606,135,11,0;1;1,1,1;2
scalar;1024;10000;normal;0,11,135,606,1000,606,135,11;1;1,1,1;2
scalar;1024;10000;normal;0,0,11,135,606,1000,606,135;1;1,1,1;2
scalar;1024;10000;normal;0,0,0,11,135,606,1000,606;1;1,1,1;2
scalar;1024;10000;normal;0,0,0,0,11,135,606,1000;1;1,1,1;3
scalar;1024;10000;single;1,0,0,0,0,0,0,0;1,1,1,1,1,1;1,1,1;3
scalar;1024;10000;single;0,1,0,0,0,0,0,0;1,1,1,1,1,1;1,1,1;3
scalar;1024;10000;single;0,0,1,0,0,0,0,0;1,1,1,1,1,1;1,1,1;3
scalar;1024;10000;single;0,0,0,1,0,0,0,0;1,1,1,1,1,1;1,1,1;3
scalar;1024;10000;single;0,0,0,0,1,0,0,0;1,1,1,1,1,1;1,1,1;3
scalar;1024;10000;single;0,0,0,0,0,1,0,0;1,1,1,1,1,1;1,1,1;3
scalar;1024;10000;single;0,0,0,0,0,0,1,0;1,1,1,1,1,1;1,1,1;3
scalar;1024;10000;single;0,0,0,0,0,0,0,1;1,1,1,1,1,1;1,1,1;3
scalar;1024;10000;uniform;1;1,1,1,1,1,1;1,1,1;3
scalar;1024;10000;uniform;1,1;1,1,1,1,1,1;1,1,1;3
scalar;1024;10000;uniform;1,1,1;1,1,1,1,1,1;1,1,1;4
scalar;1024;10000;uniform;1,1,1,1;1,1,1,1,1,1;1,1,1;3
scalar;1024;10000;uniform;1,1,1,1,1;1,1,1,1,1,1;1,1,1;3
scalar;1024;10000;uniform;1,1,1,1,1,1;1,1,1,1,1,1;1,1,1;3
scalar;1024;10000;uniform;1,1,1,1,1,1,1;1,1,1,1,1,1;1,1,1;2
scalar;1024;10000;uniform;1,1,1,1,1,1,1,1;1,1,1,1,1,1;1,1,1;3
scalar;1024;10000;normal;1000,606,135,11,0,0,0,0;1,1,1,1,1,1;1,1,1;3
scalar;1024;10000;normal;606,1000,606,135,11,0,0,0;1,1,1,1,1,1;1,1,1;3
scalar;1024;10000;normal;135,606,1000,606,135,11,0,0;1,1,1,1,1,1;1,1,1;3
scalar;1024;10000;normal;11,135,606,1000,606,135,11,0;1,1,1,1,1,1;1,1,1;2
scalar;1024;10000;normal;0,11,135,606,1000,606,135,11;1,1,1,1,1,1;1,1,1;3
scalar;1024;10000;normal;0,0,11,135,606,1000,606,135;1,1,1,1,1,1;1,1,1;2
scalar;1024;10000;normal;0,0,0,11,135,606,1000,606;1,1,1,1,1,1;1,1,1;2
scalar;1024;10000;normal;0,0,0,0,11,135,606,1000;1,1,1,1,1,1;1,1,1;3
scalar;4096;10000;single;1,0,0,0,0,0,0,0;1;1,1,1;18
scalar;4096;10000;single;0,1,0,0,0,0,0,0;1;1,1,1;15
scalar;4096;10000;single;0,0,1,0,0,0,0,0;1;1,1,1;14
scalar;4096;10000;single;0,0,0,1,0,0,0,0;1;1,1,1;13
scalar;4096;10000;single;0,0,0,0,1,0,0,0;1;1,1,1;13
scalar;4096;10000;single;0,0,0,0,0,1,0,0;1;1,1,1;12
scalar;4096;10000;single;0,0,0,0,0,0,1,0;1;1,1,1;12
scalar;4096;10000;single;0,0,0,0,0,0,0,1;1;1,1,1;11
scalar;4096;10000;uniform;1;1;1,1,1;18
scalar;4096;10000;uniform;1,1;1;1,1,1;20
scalar;4096;10000;uniform;1,1,1;1;1,1,1;19
scalar;4096;10000;uniform;1,1,1,1;1;1,1,1;18
scalar;4096;10000;uniform;1,1,1,1,1;1;1,1,1;17
scalar;4096;10000;uniform;1,1,1,1,1,1;1;1,1,1;16
scalar;4096;10000;uniform;1,1,1,1,1,1,1;1;1,1,1;18
scalar;4096;10000;uniform;1,1,1,1,1,1,1,1;1;1,1,1;15
scalar;4096;10000;normal;1000,606,135,11,0,0,0,0;1;1,1,1;20
scalar;4096;10000;normal;606,1000,606,135,11,0,0,0;1;1,1,1;18
scalar;4096;10000;normal;135,606,1000,606,135,11,0,0;1;1,1,1;16
scalar;4096;10000;normal;11,135,606,1000,606,135,11,0;1;1,1,1;15
scalar;4096;10000;normal;0,11,135,606,1000,606,135,11;1;1,1,1;14
scalar;4096;10000;normal;0,0,11,135,606,1000,606,135;1;1,1,1;13
scalar;4096;10000;normal;0,0,0,11,135,606,1000,606;1;1,1,1;13
scalar;4096;10000;normal;0,0,0,0,11,135,606,1000;1;1,1,1;13
scalar;4096;10000;single;1,0,0,0,0,0,0,0;1,1,1,1,1,1;1,1,1;15
scalar;4096;10000;single;0,1,0,0,0,0,0,0;1,1,1,1,1,1;1,1,1;14
